organization,system,chip,accelerator,vendor,generation,generation_order,workload,scenario,accelerators,result,per_accelerator,availability
Lambda_SIT,NVIDIA DGX B200 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-8b,Interactive,8,128750,16093.8,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Interactive,8,128633,16079.1,available
HPE,HPE ProLiant Compute XD685 (8x NVIDIA B200 180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-8b,Interactive,8,126143,15767.9,available
HPE,HPE ProLiant Compute DL380a Gen12 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Interactive,8,44087.3,5510.91,available
HPE,HPE ProLiant Compute DL380a Gen12 (10x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Interactive,10,53054.7,5305.47,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Interactive,2,10589.3,5294.65,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Interactive,2,10459.6,5229.8,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Interactive,4,20118.9,5029.73,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Interactive,4,19991.1,4997.77,available
ASUSTeK,ESC8000A_E13P_RTX_PRO_6000_PCIE_96GBx8,NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Interactive,8,34241,4280.12,available
ASUSTeK,XA NB3I-E12,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Offline,8,166745,20843.1,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Offline,8,165432,20679,available
Lambda_SIT,NVIDIA DGX B200 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-8b,Offline,8,160403,20050.4,available
HPE,HPE ProLiant Compute XD685 (8x NVIDIA B200 180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-8b,Offline,8,152625,19078.1,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Offline,8,150707,18838.4,available
Dell,PowerEdge XE7740 (8x H200-NVL-141GB TensorRT),NVIDIA H200-NVL-141GB,NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama3.1-8b,Offline,8,53193.6,6649.2,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,2,12495.2,6247.6,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,2,12433.3,6216.65,available
HPE,HPE ProLiant Compute DL380a Gen12 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,8,49580.2,6197.52,available
Dell,PowerEdge XE7745 (8x RTXPro6000-PCIe-96GB TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,8,49036.1,6129.51,available
ASUSTeK,ESC8000A_E13P_RTX_PRO_6000_PCIE_96GBx8,NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,8,48791,6098.88,available
